tls_version,run_index,file_size,host,port,ciphers_requested,ca_file,payload_bytes,use_hybrid,tcp_connect_time_ms,client_hello_time_ms,server_hello_time_ms,ecdh_time_ms,mlkem_encapsulation_time_ms,signature_verification_time_ms,key_derivation_time_ms,total_handshake_time_ms,handshake_time_ms,ping_ping_rtt_ms,bytes_sent,encrypt_time_ms,bytes_received,decrypt_time_ms,end_to_end_transfer_time_ms,throughput_bytes_per_sec,success
1.3,1,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,102400,True,0.7819000165909529,0.1550000160932541,6.65400002617389,0.2891999902203679,0.3029999788850546,2.1108000073581934,0.24770002346485853,18.43559998087585,18.43559998087585,0.5700000328943133,102400,0.47450000420212746,102400,0.4455000162124634,0.9210999123752117,111171436.0453518,True
1.3,2,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,102400,True,0.7628999883309007,0.13250007759779692,5.913900095038116,0.30839990358799696,0.2693000715225935,0.6778999231755733,0.20700006280094385,14.689400093629956,14.689400093629956,0.5188999930396676,102400,0.3405000315979123,102400,0.5865000421181321,0.9280000813305378,110344817.91551359,True
1.3,3,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,102400,True,0.6496000569313765,0.13369997031986713,6.350399926304817,0.19890000112354755,0.17280003521591425,0.9864999447017908,0.2940000267699361,15.466699958778918,15.466699958778918,0.552699901163578,102400,0.33439998514950275,102400,0.636699958704412,0.9719999507069588,105349799.58128808,True
1.3,4,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,102400,True,0.735200010240078,0.1284000463783741,5.941500072367489,0.2786999102681875,0.2359000500291586,0.8393999887630343,0.2063000574707985,15.041000093333423,15.041000093333423,0.4456999013200402,102400,0.3472000826150179,102400,0.46220002695918083,0.8167000487446785,125382629.95991676,True
1.3,5,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,102400,True,0.6793999345973134,0.12740003876388073,6.617799983359873,0.2020999090746045,0.17570005729794502,0.8233999833464622,0.23609993513673544,15.587299945764244,15.587299945764244,0.5332001019269228,102400,0.3677000058814883,102400,0.5902000702917576,0.9590000845491886,106777884.22525185,True
1.3,6,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,102400,True,0.6237999768927693,0.1281999284401536,6.2136000487953424,0.2636000281199813,0.17129990737885237,1.2253000168129802,0.3090000245720148,15.902399900369346,15.902399900369346,0.47339999582618475,102400,0.3203999949619174,102400,0.40220003575086594,0.7236000383272767,141514641.48166,True
1.3,7,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,102400,True,0.6260999944061041,0.12780004180967808,6.812899955548346,0.2079999540001154,0.18239999189972878,1.20749999769032,0.30519999563694,15.907500055618584,15.907500055618584,0.546199968084693,102400,0.33650000113993883,102400,0.5589000647887588,0.8965000743046403,114221964.8776107,True
1.3,8,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,102400,True,0.6144000217318535,0.12879993300884962,6.805400014854968,0.19529997371137142,0.16250007320195436,0.6848999764770269,0.20819995552301407,15.315899974666536,15.315899974666536,0.4317999118939042,102400,0.3462000750005245,102400,0.48649997916072607,0.8335000602528453,122855420.03312704,True
1.3,9,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,102400,True,0.6125000072643161,0.12860004790127277,6.361600011587143,0.2829000586643815,0.256099971011281,0.9657000191509724,0.21740002557635307,15.15099999960512,15.15099999960512,0.4323000321164727,102400,0.3480999730527401,102400,0.6667999550700188,1.015799934975803,100807251.97372575,True
1.3,10,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,102400,True,0.6318000378087163,0.13520009815692902,6.410999922081828,0.22250006441026926,0.17560005653649569,1.6861999174579978,0.29790005646646023,16.839500050991774,16.839500050991774,0.5138000706210732,102400,0.4907000111415982,102400,0.5516000092029572,1.0433000279590487,98150098.0119013,True
1.3,11,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,102400,True,0.62369997613132,0.13150006998330355,6.4073000103235245,0.2848000731319189,0.27929991483688354,0.7901000790297985,0.21279999054968357,15.480300062336028,15.480300062336028,0.5403000395745039,102400,0.3770999610424042,102400,0.4998999647796154,0.8778999326750636,116641995.50394684,True
1.3,12,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,102400,True,0.6790999323129654,0.1455000601708889,7.824799977242947,0.3109999233856797,0.2578999847173691,1.1835000477731228,0.30919990967959166,18.254099995829165,18.254099995829165,0.5664000054821372,102400,0.4102999810129404,102400,0.7931999862194061,1.205099979415536,84972202.92847669,True
1.3,13,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,102400,True,0.6183000514283776,0.13230007607489824,6.199099938385189,0.1973999897018075,0.16609998419880867,1.0285000316798687,0.21540001034736633,14.879600028507411,14.879600028507411,0.5367000121623278,102400,0.4376999568194151,102400,0.38790004327893257,0.8264000061899424,123910938.08446084,True
1.3,14,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,102400,True,0.6693999748677015,0.1292999368160963,7.081200019456446,0.2750999992713332,0.2471000188961625,0.7456999737769365,0.2245999639853835,16.548899933695793,16.548899933695793,0.5153000820428133,102400,0.3521000035107136,102400,0.6077999714761972,0.9606999810785055,106588947.65985447,True
