Metric,Classical_Mean,Classical_Std,Hybrid_Mean,Hybrid_Std,Overhead_Percent,Classical_Count,Hybrid_Count
Decryption Time,2.59209687146722,0.38247321792209554,5.625003125715011,0.8183071488124753,117.00589926375157,32,32
Encryption Time,1.8522218747420993,0.3971168742883319,4.888437500540022,1.0030468128114836,163.92288997346392,32,32
Handshake Time,15.432231250997575,1.1326713285984802,203.06651562532352,6.953037395581228,1215.8597245113006,32,32
Throughput,239838537.8701362,28789744.594760753,101429972.73972216,11749904.059786603,-57.709059753089896,32,32
Transfer Duration,4.458634374259418,0.7574566283589229,10.526478125484573,1.6982443727510983,136.09197888609174,32,32
