candidate_mode,difference_ci95_high,difference_ci95_low,difference_maximum,difference_mean,difference_median,difference_minimum,difference_standard_deviation,endpoint,metric,paired_n,payload_bytes,reference_mode,relative_paired_n,relative_percent_ci95_high,relative_percent_ci95_low,relative_percent_maximum,relative_percent_mean,relative_percent_median,relative_percent_minimum,relative_percent_standard_deviation
native,8.05093579377986,-4.547610793779859,24.617199999999997,1.7516625000000001,1.5658999999999992,-20.1661,11.82157617927914,client,tcp_connect_ms,16,1024,baseline,16,287.61786644843204,-3.669353156504485,931.0590015128591,141.97425664596378,9.39379528258188,-86.96520287898848,273.32311966924703
native,0.7527592292947166,0.31375327070528336,1.3249999999999997,0.53325625,0.5326499999999998,-0.5821000000000001,0.41193183249780535,client,tls_handshake_ms,16,1024,baseline,16,30.4844745752009,13.555571652881396,55.72377828244594,22.020023114041148,21.760707699516388,-16.39487396141389,15.884873238110938
native,8.6438540124811,-4.071441512481099,25.6132,2.28620625,2.059000000000001,-19.5012,11.931125042535804,client,channel_ready_ms,16,1024,baseline,16,159.9362120149471,-5.045058942450822,512.2025356957164,77.44557653624814,10.556776934718954,-75.6036287508723,154.80663973596847
native,0.020043393502311532,-0.026580893502311527,0.0633,-0.003268749999999999,0.00019999999999999185,-0.11610000000000001,0.04374890046237353,client,ping_rtt_ms,16,1024,baseline,16,8.957801424172747,-8.534874665137536,32.24656138563423,0.2114633795176048,0.0839015594988308,-32.90816326530613,16.41387770661018
native,0.013686926395978245,-0.03309942639597826,0.0746,-0.009706250000000007,-0.004750000000000032,-0.10999999999999999,0.0439009714205354,client,upload_send_ms,16,1024,baseline,16,3.983054005401806,-7.713825959640236,21.467625899280577,-1.8653859771192145,-1.3293974923088232,-23.55964874705504,10.975516628494823
native,0.037706365185789986,-0.10979386518578998,0.06369999999999998,-0.03604375,-0.005750000000000005,-0.5346,0.13840367995468905,client,download_receive_ms,16,1024,baseline,16,5.580692653336207,-14.254840939688577,17.202268431001883,-4.337074143176185,-1.7541183648566216,-62.871927554980594,18.612247833264714
native,0.03680128517299116,-0.13671378517299113,0.06310000000000004,-0.04995624999999999,-0.00984999999999997,-0.6314,0.16281414749646297,client,transfer_total_ms,16,1024,baseline,16,2.8362363272791695,-10.962529190825503,8.003551496702187,-4.063146431773166,-1.305930778057605,-46.811981020166066,12.947775889748943
native,2.4918837195336287,-0.6029144516331254,10.69093249281295,0.9444846339502516,0.28876858084914403,-1.539990460622061,2.9039375364192677,client,throughput_mbps,16,1024,baseline,16,19.02604767087861,-4.977848415749957,88.01226651798162,7.024099627564327,1.3292432860460965,-7.410452143276569,22.523541443088302
native,6.638837526324744,-4.685712526324744,31.25,0.9765625,0.0,-15.625,10.626148834949564,client,process_cpu_ms,16,1024,baseline,4,41.869311551869956,-141.86931155186994,0.0,-50.0,-50.0,-100.0,57.735026918962575
native,0.0,0.0,0.0,0.0,0.0,0.0,0.0,client,handshake_framed_bytes_sent,16,1024,baseline,0,,,,,,,
native,0.0,0.0,0.0,0.0,0.0,0.0,0.0,client,handshake_framed_bytes_received,16,1024,baseline,0,,,,,,,
native,0.0,0.0,0.0,0.0,0.0,0.0,0.0,client,application_framed_bytes_sent,16,1024,baseline,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
native,0.0,0.0,0.0,0.0,0.0,0.0,0.0,client,application_framed_bytes_received,16,1024,baseline,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
native,8.779434679692878,-4.010684679692879,25.686899999999998,2.384375,2.0711500000000003,-19.6287,12.001334383948034,server,tls_handshake_ms,16,1024,baseline,16,388.7226221226267,5.380295705928887,1230.215517241379,197.05145891427782,12.848490725210064,-87.08964660469863,359.70105622753863
native,8.77952179915848,-4.01032179915848,25.686899999999998,2.3846,2.0716500000000018,-19.6275,12.00107562945922,server,channel_ready_ms,16,1024,baseline,16,387.1086131791369,5.332494777994697,1224.9356223175964,196.22055397856582,12.844497800273377,-87.05110635070587,358.2314385030012
native,0.03873444894855185,-0.03120944894855186,0.2182,0.0037624999999999985,-0.0022000000000000075,-0.07680000000000003,0.06563035755908492,server,ping_service_ms,16,1024,baseline,16,11.467059939064779,-8.178663629995405,62.86372803226735,1.6441981545346864,-0.579206392371031,-18.47081392162237,18.43414366527251
native,0.029430391315427018,-0.080767891315427,0.07519999999999999,-0.02566874999999999,-0.014450000000000018,-0.37739999999999996,0.103402196744879,server,upload_receive_ms,16,1024,baseline,16,5.095217557591784,-10.755513619848612,16.925500787756018,-2.8301480311284144,-2.9174679959059064,-46.72526928314968,14.873193888604046
native,0.020830995072702384,-0.038055995072702374,0.09009999999999996,-0.008612499999999995,-0.0009500000000000064,-0.18879999999999997,0.055255345141141464,server,download_send_ms,16,1024,baseline,16,6.059130556648074,-8.6364418929474,30.688010899182547,-1.288655668149663,-0.32995056916536414,-40.21299254526091,13.789275453610744
native,0.04620570507510343,-0.13938070507510342,0.1248999999999999,-0.0465875,-0.010899999999999965,-0.6539999999999999,0.17414103048965798,server,transfer_total_ms,16,1024,baseline,16,3.802035059250137,-10.2683281768355,14.198022052972592,-3.2331465587926815,-1.1652924989091082,-44.776119402985074,13.202623787553339
native,2.087158168621437,-0.6872115922844774,9.095114558622706,0.6999732881684798,0.20835281276618467,-2.3155523921551158,2.6032704050499866,server,throughput_mbps,16,1024,baseline,16,17.335651931912288,-5.35197546123806,81.08108108108108,5.991838235337114,1.1791475405583869,-12.432809078240084,21.288448924740358
native,7.446978241377627,-7.446978241377627,15.625,0.0,0.0,-31.25,13.975424859373685,server,process_cpu_ms,16,1024,baseline,5,-24.47109789604403,-135.52890210395597,0.0,-80.0,-100.0,-100.0,44.721359549995796
native,0.0,0.0,0.0,0.0,0.0,0.0,0.0,server,handshake_framed_bytes_sent,16,1024,baseline,0,,,,,,,
native,0.0,0.0,0.0,0.0,0.0,0.0,0.0,server,handshake_framed_bytes_received,16,1024,baseline,0,,,,,,,
native,0.0,0.0,0.0,0.0,0.0,0.0,0.0,server,application_framed_bytes_sent,16,1024,baseline,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
native,0.0,0.0,0.0,0.0,0.0,0.0,0.0,server,application_framed_bytes_received,16,1024,baseline,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hybrid,5.003883866849005,-6.829921366849005,17.9565,-0.91301875,-0.6242000000000001,-20.6624,11.103997519765498,client,tcp_connect_ms,16,1024,baseline,16,194.13500189020533,-47.156760053853475,679.1414523449318,73.48912091817593,-8.908155759195374,-89.10546947435606,226.41095347226752
hybrid,0.1986547703753184,-0.2122047703753184,0.7772000000000001,-0.006775000000000003,0.005449999999999955,-1.1225999999999998,0.38552124455080294,client,tls_handshake_ms,16,1024,baseline,16,7.598664726439697,-6.345188849403247,31.675904792957294,0.6267379385182255,0.2175306859939869,-31.618081960287277,13.08391615921068
hybrid,7.535587936237816,-4.538800436237816,20.3489,1.4983937500000004,1.4829000000000012,-18.3108,11.329743551876701,client,channel_ready_ms,16,1024,baseline,16,131.2421474917864,-18.827881082573292,406.92916849978,56.207133204606556,5.39097327476063,-70.98860200046522,140.81499502253445
hybrid,0.045879210391220754,-0.03549171039122076,0.2325,0.0051937500000000004,0.004449999999999996,-0.1336,0.07635265958039707,client,ping_rtt_ms,16,1024,baseline,16,22.46232256854609,-11.794920657134536,109.66981132075472,5.333700955705777,1.8587092234233107,-37.868480725623584,32.144549982008634
hybrid,0.048381039712028444,-0.029343539712028445,0.2223,0.00951875,-0.0010500000000000231,-0.1114,0.07293119331488641,client,upload_send_ms,16,1024,baseline,16,13.660236471644787,-6.8997633572929224,61.88752783964365,3.3802365571759316,-0.2754917329153199,-23.859498822017564,19.292035199024586
hybrid,0.10829830245733561,-0.0600108024573356,0.3075,0.024143750000000005,0.01660000000000003,-0.4769999999999999,0.15792924140787437,client,download_receive_ms,16,1024,baseline,16,28.938062253221283,-4.074847961689715,93.80719951189751,12.431607145765783,4.652060222599905,-56.09784781841703,30.976956769809846
hybrid,0.1484750935510126,-0.07450009355101256,0.5444000000000001,0.03698750000000002,0.031200000000000006,-0.5563,0.20922398802877903,client,transfer_total_ms,16,1024,baseline,16,18.70863632227396,-4.990095733659143,72.67387531704713,6.859270294307408,4.048466242079955,-41.24406880189799,22.23719731513909
hybrid,0.9003361891501563,-2.8019453303975217,8.526723321770307,-0.9508045706236826,-0.8289496972536075,-9.20517026049092,3.4739565168324416,client,throughput_mbps,16,1024,baseline,16,9.376110574849928,-14.390911544621964,70.19558359621455,-2.5074004848860185,-3.890874512032047,-42.08735987630461,22.30127583267291
hybrid,7.937796448713278,-4.031546448713278,15.625,1.953125,0.0,-15.625,11.231176381691576,client,process_cpu_ms,16,1024,baseline,4,4.561157632106571,-154.56115763210659,0.0,-75.0,-100.0,-100.0,50.0
hybrid,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,0.0,client,handshake_framed_bytes_sent,16,1024,baseline,0,,,,,,,
hybrid,4581.0,4581.0,4581.0,4581.0,4581.0,4581.0,0.0,client,handshake_framed_bytes_received,16,1024,baseline,0,,,,,,,
hybrid,125.0,125.0,125.0,125.0,125.0,125.0,0.0,client,application_framed_bytes_sent,16,1024,baseline,16,10.04823151125402,10.04823151125402,10.04823151125402,10.04823151125402,10.04823151125402,10.04823151125402,0.0
hybrid,100.0,100.0,100.0,100.0,100.0,100.0,0.0,client,application_framed_bytes_received,16,1024,baseline,16,8.389261744966444,8.389261744966444,8.389261744966444,8.389261744966444,8.389261744966444,8.389261744966444,0.0
hybrid,5.188196030723235,-6.7937835307232355,18.260299999999997,-0.8027937500000002,-0.22140000000000004,-20.503,11.243033724546576,server,tls_handshake_ms,16,1024,baseline,16,257.13386042889795,-51.48447719755055,874.5354406130267,102.82469161567369,-9.748933003816841,-90.96878674268476,289.5854028254397
hybrid,7.869674008055265,-4.219211508055263,20.6418,1.8252312500000005,2.3823,-17.6592,11.343346635904751,server,channel_ready_ms,16,1024,baseline,16,326.5513644081078,-24.04996075700919,984.349070100143,151.2507018255493,27.915191753249175,-79.31840735810238,328.97923940593597
hybrid,-0.19206850537528325,-0.24801899462471677,-0.05559999999999998,-0.22004375,-0.22435,-0.30510000000000004,0.052499942460285935,server,ping_service_ms,16,1024,baseline,16,-53.16302429032707,-66.43146780336707,-16.101940341731822,-59.79724604684707,-63.16310975368297,-69.5939781021898,12.450159602120134
hybrid,0.08844332096070827,-0.06513082096070823,0.31740000000000007,0.011656250000000017,0.013250000000000012,-0.3747,0.14410300468183632,server,upload_receive_ms,16,1024,baseline,16,19.802454224072502,-8.601669196100861,72.93198529411767,5.60039251398582,2.9359742422830295,-46.39098675250712,26.652400456159718
hybrid,0.07064902198553497,-0.01876152198553497,0.28129999999999994,0.025943749999999995,0.021550000000000014,-0.16219999999999996,0.08389646769481218,server,download_send_ms,16,1024,baseline,16,24.625442113850752,-3.5604067646217867,98.80576044959605,10.532517674614484,7.537175690084115,-34.54739084132055,26.44758721799926
hybrid,0.1835736215545882,-0.0684111215545882,0.6725999999999999,0.05758125000000001,0.04305000000000003,-0.5753999999999999,0.23644448317734118,server,transfer_total_ms,16,1024,baseline,16,21.127803937319506,-4.051052068554332,80.80249879865448,8.538375934382586,5.026477819352991,-39.39476927290154,23.626039901654387
hybrid,0.6111216143597114,-2.7630099915750925,7.29150361237256,-1.0759441886076906,-0.9175065526441308,-8.796466048618967,3.1660440782794916,server,throughput_mbps,16,1024,baseline,16,7.629366471176037,-15.445057468208358,65.00225937641211,-3.907845498516161,-4.782509390064774,-44.69102990033221,21.651391174102912
hybrid,15.41815587110923,-1.7462808711092297,31.25,6.8359375,7.8125,-31.25,16.105881350068987,server,process_cpu_ms,16,1024,baseline,5,83.88506336835697,-123.88506336835697,100.0,-20.0,0.0,-100.0,83.66600265340756
hybrid,4581.0,4581.0,4581.0,4581.0,4581.0,4581.0,0.0,server,handshake_framed_bytes_sent,16,1024,baseline,0,,,,,,,
hybrid,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,0.0,server,handshake_framed_bytes_received,16,1024,baseline,0,,,,,,,
hybrid,100.0,100.0,100.0,100.0,100.0,100.0,0.0,server,application_framed_bytes_sent,16,1024,baseline,16,8.389261744966444,8.389261744966444,8.389261744966444,8.389261744966444,8.389261744966444,8.389261744966444,0.0
hybrid,125.0,125.0,125.0,125.0,125.0,125.0,0.0,server,application_framed_bytes_received,16,1024,baseline,16,10.04823151125402,10.04823151125402,10.04823151125402,10.04823151125402,10.04823151125402,10.04823151125402,0.0
hybrid,3.7178254667251567,-9.047187966725158,23.8955,-2.66468125,-2.9098999999999995,-21.036700000000003,11.977776776414936,client,tcp_connect_ms,16,1024,native,16,167.25995283545262,-85.66156345947297,874.0124359912215,40.79919468798982,-20.42626617900368,-88.22675820650147,237.32348421933239
hybrid,-0.3304602614292874,-0.7496022385707125,0.2290000000000001,-0.54003125,-0.5984,-1.1907999999999999,0.39329289122950944,client,tls_handshake_ms,16,1024,native,16,-10.618860751916152,-22.992615101710193,7.628756079685526,-16.805737926813173,-19.76313574252586,-32.15944690504483,11.610647200703024
hybrid,5.78821173258583,-7.36383673258583,26.0468,-0.7878125000000002,-0.8491999999999997,-20.2183,12.340942803523292,client,channel_ready_ms,16,1024,native,16,98.51874180014917,-45.13352644031164,463.79629629629636,26.69260767991877,-4.839588743937571,-73.28604258342334,134.79302715820504
hybrid,0.04612962646503111,-0.029204626465031115,0.2286,0.0084625,0.005249999999999991,-0.08930000000000002,0.07068828167855452,client,ping_rtt_ms,16,1024,native,16,22.19206537642543,-10.236409575236902,105.88235294117646,5.9778279005942645,2.4644594630936125,-27.56172839506173,30.428564466115603
