success,mode,payload_bytes,error_type,error,completed_utc,execution_order,repetition,run_id,client_success,client_endpoint,client_mode,client_payload_bytes,client_tls_version,client_tls_cipher,client_tls_group,client_alpn,client_error_type,client_error,client_tcp_connect_ms,client_tls_handshake_ms,client_tls_exporter_ms,client_pqc_handshake_ms,client_pqc_kem_keygen_ms,client_pqc_signature_sign_ms,client_pqc_signature_verify_ms,client_pqc_encapsulation_ms,client_pqc_decapsulation_ms,client_pqc_kdf_ms,client_channel_ready_ms,client_ping_rtt_ms,client_ping_service_ms,client_upload_send_ms,client_upload_receive_ms,client_download_send_ms,client_download_receive_ms,client_transfer_total_ms,client_throughput_mbps,client_process_cpu_ms,client_handshake_framed_bytes_sent,client_handshake_framed_bytes_received,client_application_framed_bytes_sent,client_application_framed_bytes_received,server_success,server_endpoint,server_mode,server_payload_bytes,server_tls_version,server_tls_cipher,server_tls_group,server_alpn,server_error_type,server_error,server_tcp_connect_ms,server_tls_handshake_ms,server_tls_exporter_ms,server_pqc_handshake_ms,server_pqc_kem_keygen_ms,server_pqc_signature_sign_ms,server_pqc_signature_verify_ms,server_pqc_encapsulation_ms,server_pqc_decapsulation_ms,server_pqc_kdf_ms,server_channel_ready_ms,server_ping_rtt_ms,server_ping_service_ms,server_upload_send_ms,server_upload_receive_ms,server_download_send_ms,server_download_receive_ms,server_transfer_total_ms,server_throughput_mbps,server_process_cpu_ms,server_handshake_framed_bytes_sent,server_handshake_framed_bytes_received,server_application_framed_bytes_sent,server_application_framed_bytes_received
True,native,104857600,,,2026-09-05T08:47:29.849686+00:00,11,1,0011-native-104857600-r1,True,client,native,104857600,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,2.57,3.0772,,,,,,,,,5.6651,0.2252,,291.0613,,,279.1622,570.2914,2941.8672629466273,546.875,0,0,104889840,104889788,True,server,native,104857600,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,,2.762,,,,,,,,,2.7716,,0.3785,,291.1286,279.0991,,570.3839,2941.390175984981,531.25,0,0,104889788,104889840
True,hybrid,524288000,,,2026-09-05T08:47:33.862631+00:00,12,1,0012-hybrid-524288000-r1,True,client,hybrid,524288000,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,12.3508,2.7585,0.0489,1.9941,,,0.2355,0.2529,,0.1245,17.2094,0.2531,,1732.0395,,,1671.4667,3403.5919,2464.633906315267,3171.875,1144,4581,524648570,524648493,True,server,hybrid,524288000,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,,12.2652,0.0572,2.2349,0.272,0.4733,,,0.0989,0.116,14.6101,,0.1242,,1732.143,1671.3524,,3403.7009,2464.554978964221,3171.875,4581,1144,524648493,524648570
True,native,1073741824,,,2026-09-05T08:47:40.425134+00:00,13,1,0013-native-1073741824-r1,True,client,native,1073741824,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,8.099,2.975,,,,,,,,,11.0937,0.2562,,2984.073,,,2987.7134,5971.8546,2876.80634153417,5562.5,0,0,1074069944,1074069892,True,server,native,1073741824,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,,8.2055,,,,,,,,,8.2147,,0.3392,,2984.3384,2987.4495,,5971.9735,2876.749065279677,5656.25,0,0,1074069892,1074069944
True,native,1048576,,,2026-09-05T08:47:41.029410+00:00,14,1,0014-native-1048576-r1,True,client,native,1048576,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,2.6901,2.9582,,,,,,,,,5.6669,0.2311,,3.8231,,,3.3693,7.2511,2313.747707244418,15.625,0,0,1049116,1049064,True,server,native,1048576,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,,2.5755,,,,,,,,,2.585,,0.4469,,3.9497,3.2223,,7.3363,2286.87703610812,15.625,0,0,1049064,1049116
True,baseline,524288000,,,2026-09-05T08:47:44.524427+00:00,15,1,0015-baseline-524288000-r1,True,client,baseline,524288000,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,2.6038,2.6278,,,,,,,,,5.251,0.2361,,1424.8443,,,1485.1554,2910.0895,2882.594504395827,2640.625,0,0,524448320,524448268,True,server,baseline,524288000,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,,2.2156,,,,,,,,,2.224,,0.368,,1424.9497,1485.0936,,2910.1952,2882.4898068693124,2703.125,0,0,524448268,524448320
True,baseline,104857600,,,2026-09-05T08:47:45.742410+00:00,16,1,0016-baseline-104857600-r1,True,client,baseline,104857600,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,18.9406,2.7738,,,,,,,,,21.7658,0.2412,,301.4132,,,314.6081,616.1017,2723.1244452011733,546.875,0,0,104889840,104889788,True,server,baseline,104857600,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,,18.3494,,,,,,,,,18.3585,,0.3784,,301.5735,314.4821,,616.2138,2722.629061536759,531.25,0,0,104889788,104889840
True,baseline,1048576,,,2026-09-05T08:47:46.352671+00:00,17,1,0017-baseline-1048576-r1,True,client,baseline,1048576,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,11.012,2.5619,,,,,,,,,13.5999,0.2386,,3.5346,,,3.0237,6.6164,2535.7015899885137,15.625,0,0,1049116,1049064,True,server,baseline,1048576,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,,10.7192,,,,,,,,,10.728,,0.367,,3.6483,2.8994,,6.7047,2502.306740048026,15.625,0,0,1049064,1049116
True,native,524288000,,,2026-09-05T08:47:49.738525+00:00,18,1,0018-native-524288000-r1,True,client,native,524288000,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,2.7434,2.9451,,,,,,,,,5.7073,0.2216,,1417.1543,,,1366.5763,2783.8067,3013.3586502252474,2734.375,0,0,524448320,524448268,True,server,native,524288000,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,,2.6182,,,,,,,,,2.6266,,0.3893,,1417.2531,1366.4548,,2783.9093,3013.24759394999,2593.75,0,0,524448268,524448320
True,native,1073741824,,,2026-09-05T08:47:56.425921+00:00,19,2,0019-native-1073741824-r2,True,client,native,1073741824,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,5.5279,2.9685,,,,,,,,,8.5217,0.2103,,3019.1982,,,3098.5447,6117.8249,2808.1662134527583,5593.75,0,0,1074069944,1074069892,True,server,native,1073741824,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,,5.6159,,,,,,,,,5.6248,,0.3587,,3019.2873,3098.4635,,6117.9194,2808.122837316229,5687.5,0,0,1074069892,1074069944
True,hybrid,1073741824,,,2026-09-05T08:48:03.843031+00:00,20,2,0020-hybrid-1073741824-r2,True,client,hybrid,1073741824,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,24.309,2.4325,0.0439,1.9147,,,0.234,0.2223,,0.1227,28.7617,0.2524,,3400.4953,,,3409.7288,6810.3067,2522.627825851074,6640.625,1144,4581,1074479944,1074479867,True,server,hybrid,1073741824,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,,24.0182,0.0548,2.0933,0.2473,0.3931,,,0.1081,0.1161,26.2098,,0.1336,,3400.6276,3409.5715,,6810.4457,2522.5763394604264,6531.25,4581,1144,1074479867,1074479944
