tls_version,run_index,file_size,host,port,ciphers_requested,ca_file,payload_bytes,tcp_connect_time_ms,handshake_time_ms,negotiated_tls_version,negotiated_cipher,ping_rtt_ms,bytes_sent,encrypt_time_ms,bytes_received,decrypt_time_ms,end_to_end_transfer_time_ms,throughput_bytes_per_sec,success
1.3,1,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,0.6373000796884298,5.394899984821677,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",0.22990000434219837,1024,0.038100057281553745,1024,0.05289993714541197,0.09180000051856041,11154684.032849917,True
1.3,2,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,0.6406999891623855,4.538500099442899,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",0.4078000783920288,1024,0.037499936297535896,1024,0.05719996988773346,0.09559991303831339,10711306.814574335,True
1.3,3,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,0.6330000469461083,4.784999997355044,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",0.3353999927639961,1024,0.05070003680884838,1024,0.05709996912628412,0.10880001354962587,9411763.533769535,True
1.3,4,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,0.6362000713124871,5.032100016251206,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",0.41990005411207676,1024,0.03829994238913059,1024,0.05280005279928446,0.0923000043258071,11094257.33486872,True
1.3,5,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,0.6301000248640776,4.579400061629713,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",0.3010999644175172,1024,0.0396000687032938,1024,0.06029999349266291,0.10110007133334875,10128578.412409335,True
1.3,6,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,0.6498999428004026,4.760600044392049,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",0.42010005563497543,1024,0.05489995237439871,1024,0.14669995289295912,0.20269991364330053,5051802.84290587,True
1.3,7,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,0.7194000063464046,4.994899965822697,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",0.2595999976620078,1024,0.04900002386420965,1024,0.04579999949783087,0.09580003097653389,10688931.825615251,True
1.3,8,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,0.6417999975383282,4.8992999363690615,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",0.30339998193085194,1024,0.04830001853406429,1024,0.06049999501556158,0.1097000204026699,9334547.03327546,True
1.3,9,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,0.6912999087944627,4.937799996696413,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",0.2973000518977642,1024,0.029999995604157448,1024,0.052699935622513294,0.08369993884116411,12234178.592928564,True
1.3,10,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,0.6708999862894416,4.808300058357418,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",0.12939993757754564,1024,0.03720005042850971,1024,0.05040003452450037,0.08850009180605412,11570609.46607911,True
1.3,11,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,0.9913999820128083,5.44340000487864,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",0.12049998622387648,1024,0.04409998655319214,1024,0.05789997521787882,0.10309997014701366,9932107.628545813,True
1.3,12,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,0.8855999913066626,5.598700023256242,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",0.47009997069835663,1024,0.05080003757029772,1024,0.055699958465993404,0.10750000365078449,9525581.071852617,True
1.3,13,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,0.6345000583678484,4.945600056089461,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",0.30690000858157873,1024,0.04529999569058418,1024,0.05709996912628412,0.10329997166991234,9912877.839619538,True
1.3,14,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,0.7007999811321497,5.489200004376471,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",0.4509000573307276,1024,0.047200010158121586,1024,0.05710008554160595,0.10549998842179775,9706162.202653166,True
1.3,15,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,0.6435000104829669,4.966999986208975,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",0.42559998109936714,1024,0.04309997893869877,1024,0.057200086303055286,0.10130007285624743,10108581.081211409,True
1.3,16,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,0.7366999052464962,4.783300100825727,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",0.29120000544935465,1024,0.04270009230822325,1024,0.05339994095265865,0.09720004163682461,10534974.911081249,True
