legacy_metric,current_metric,current_estimand,payload_bytes_per_direction,reference_mode,reference_mean,reference_ci95_low,reference_ci95_high,candidate_mode,candidate_mean,candidate_ci95_low,candidate_ci95_high,paired_n,paired_relative_n,paired_relative_percent_mean,paired_relative_percent_ci95_low,paired_relative_percent_ci95_high
decrypt_time_ms,download_receive_ms,Download receive and verify,1073741824,baseline,2938.7580625,2889.37403207866,2988.14209292134,native,2927.54541875,2844.3929567938135,3010.6978807061864,16,16,-0.253545031728449,-3.8456209479726198,3.3385308845157216
decrypt_time_ms,download_receive_ms,Download receive and verify,1073741824,baseline,2938.7580625,2889.37403207866,2988.14209292134,hybrid,3376.44665625,3294.882951643068,3458.0103608569325,16,16,14.943126040749073,12.161383823616543,17.724868257881603
decrypt_time_ms,download_receive_ms,Download receive and verify,1073741824,native,2927.54541875,2844.3929567938135,3010.6978807061864,hybrid,3376.44665625,3294.882951643068,3458.0103608569325,16,16,15.725452730596288,10.776447536510219,20.674457924682358
encrypt_time_ms,upload_send_ms,Upload send,1073741824,baseline,3000.0868812500003,2930.748086310157,3069.4256761898437,native,2941.601125,2916.705622085952,2966.496627914048,16,16,-1.7913613246538458,-4.0239509816263626,0.441228332318671
encrypt_time_ms,upload_send_ms,Upload send,1073741824,baseline,3000.0868812500003,2930.748086310157,3069.4256761898437,hybrid,3500.006,3470.6891599477185,3529.322840052281,16,16,16.838206560722647,14.352337763749725,19.324075357695566
encrypt_time_ms,upload_send_ms,Upload send,1073741824,native,2941.601125,2916.705622085952,2966.496627914048,hybrid,3500.006,3470.6891599477185,3529.322840052281,16,16,19.018527606943774,17.42681963801584,20.61023557587171
end_to_end_transfer_time_ms,transfer_total_ms,Bidirectional transfer,1073741824,baseline,5938.921375,5854.724112933869,6023.118637066131,native,5869.22595625,5782.163898593432,5956.288013906568,16,16,-1.0959017683514498,-3.2946264599946993,1.1028229232917999
end_to_end_transfer_time_ms,transfer_total_ms,Bidirectional transfer,1073741824,baseline,5938.921375,5854.724112933869,6023.118637066131,hybrid,6876.53860625,6797.30031625715,6955.77689624285,16,16,15.841824061841523,14.126487753647782,17.557160370035263
end_to_end_transfer_time_ms,transfer_total_ms,Bidirectional transfer,1073741824,native,5869.22595625,5782.163898593432,5956.288013906568,hybrid,6876.53860625,6797.30031625715,6955.77689624285,16,16,17.26944167429035,14.746806334101233,19.792077014479464
handshake_time_ms,channel_ready_ms,Channel ready,1073741824,baseline,14.54071875,9.68014346006256,19.40129403993744,native,13.1085375,8.493246286288551,17.72382871371145,16,16,27.557145754435524,-37.313302445052656,92.4275939539237
handshake_time_ms,channel_ready_ms,Channel ready,1073741824,baseline,14.54071875,9.68014346006256,19.40129403993744,hybrid,15.53749375,11.703275720600441,19.371711779399558,16,16,62.08266266310278,1.2416828354199936,122.92364249078557
handshake_time_ms,channel_ready_ms,Channel ready,1073741824,native,13.1085375,8.493246286288551,17.72382871371145,hybrid,15.53749375,11.703275720600441,19.371711779399558,16,16,54.73550009945729,4.867877089918842,104.60312310899573
ping_rtt_ms,ping_rtt_ms,Application ping RTT,1073741824,baseline,0.23750625,0.21823423029407327,0.25677826970592676,native,0.2316,0.21865911394547358,0.24454088605452642,16,16,-1.2213122456501635,-8.02619171236639,5.583567221066064
ping_rtt_ms,ping_rtt_ms,Application ping RTT,1073741824,baseline,0.23750625,0.21823423029407327,0.25677826970592676,hybrid,0.23829375,0.23098247237088565,0.24560502762911435,16,16,1.878001694410385,-4.518288276329461,8.274291665150232
ping_rtt_ms,ping_rtt_ms,Application ping RTT,1073741824,native,0.2316,0.21865911394547358,0.24454088605452642,hybrid,0.23829375,0.23098247237088565,0.24560502762911435,16,16,3.8635373292953834,-2.3294603963094125,10.056535054900179
throughput_bytes_per_sec,throughput_mbps,Throughput,1073741824,baseline,2894.6326896860382,2854.5944253870157,2934.670953985061,native,2929.2867505527556,2884.8041745176843,2973.769326587827,16,16,1.2767882206704222,-1.0246096132027214,3.5781860545435658
throughput_bytes_per_sec,throughput_mbps,Throughput,1073741824,baseline,2894.6326896860382,2854.5944253870157,2934.670953985061,hybrid,2499.455308734994,2469.894242232851,2529.0163752371373,16,16,-13.612282080382695,-14.90383997296317,-12.32072418780222
throughput_bytes_per_sec,throughput_mbps,Throughput,1073741824,native,2929.2867505527556,2884.8041745176843,2973.769326587827,hybrid,2499.455308734994,2469.894242232851,2529.0163752371373,16,16,-14.595424596936672,-16.441066136470667,-12.749783057402677
