legacy_metric,current_metric,current_estimand,payload_bytes_per_direction,reference_mode,reference_mean,reference_ci95_low,reference_ci95_high,candidate_mode,candidate_mean,candidate_ci95_low,candidate_ci95_high,paired_n,paired_relative_n,paired_relative_percent_mean,paired_relative_percent_ci95_low,paired_relative_percent_ci95_high
decrypt_time_ms,upload_receive_ms,Upload receive and verify,1073741824,baseline,3000.20105,2930.862003581634,3069.5400964183664,native,2941.72375,2916.833298912068,2966.614201087932,16,16,-1.7910195375292615,-4.0234142534766235,0.44137517841810103
decrypt_time_ms,upload_receive_ms,Upload receive and verify,1073741824,baseline,3000.20105,2930.862003581634,3069.5400964183664,hybrid,3500.15321875,3470.849752600244,3529.4566848997565,16,16,16.838689781413326,14.352708028036533,19.32467153479012
decrypt_time_ms,upload_receive_ms,Upload receive and verify,1073741824,native,2941.72375,2916.833298912068,2966.614201087932,hybrid,3500.15321875,3470.849752600244,3529.4566848997565,16,16,19.018551145960227,17.42748157292848,20.609620718991973
encrypt_time_ms,download_send_ms,Returned-copy send,1073741824,baseline,2938.64579375,2889.271616558018,2988.0199709419817,native,2927.39665625,2844.213072679181,3010.580239820819,16,16,-0.2547726555901749,-3.848092592335414,3.338547281155064
encrypt_time_ms,download_send_ms,Returned-copy send,1073741824,baseline,2938.64579375,2889.271616558018,2988.0199709419817,hybrid,3376.2825875,3294.71710568732,3457.84806931268,16,16,14.941919898118002,12.15996366825035,17.723876127985655
encrypt_time_ms,download_send_ms,Returned-copy send,1073741824,native,2927.39665625,2844.213072679181,3010.580239820819,hybrid,3376.2825875,3294.71710568732,3457.84806931268,16,16,15.726061589237139,10.775332229145366,20.67679094932891
handshake_time_ms,channel_ready_ms,Channel ready,1073741824,baseline,11.5452125,6.6915661825422115,16.39885881745779,native,10.1950875,5.5330030994998545,14.857171900500145,16,16,85.15156246831422,-62.71016202696664,233.01328696359508
handshake_time_ms,channel_ready_ms,Channel ready,1073741824,baseline,11.5452125,6.6915661825422115,16.39885881745779,hybrid,12.79105,8.915814216467359,16.66628578353264,16,16,159.03588610826415,27.942453191311984,290.1293190252163
handshake_time_ms,channel_ready_ms,Channel ready,1073741824,native,10.1950875,5.5330030994998545,14.857171900500145,hybrid,12.79105,8.915814216467359,16.66628578353264,16,16,116.54138863578447,23.137744479687,209.94503279188194
throughput_bytes_per_sec,throughput_mbps,Throughput,1073741824,baseline,2894.577910273136,2854.5399188568585,2934.615901689413,native,2929.233802621153,2884.753101690147,2973.7145035521585,16,16,1.2768771217748625,-1.02452932807866,3.578283571628385
throughput_bytes_per_sec,throughput_mbps,Throughput,1073741824,baseline,2894.577910273136,2854.5399188568585,2934.615901689413,hybrid,2499.409648539102,2469.849945929989,2528.9693511482146,16,16,-13.612225181641906,-14.903750224031251,-12.32070013925256
throughput_bytes_per_sec,throughput_mbps,Throughput,1073741824,native,2929.233802621153,2884.753101690147,2973.7145035521585,hybrid,2499.409648539102,2469.849945929989,2528.9693511482146,16,16,-14.595443006514222,-16.441062457935836,-12.749823555092608
transfer_duration_ms,transfer_total_ms,Bidirectional transfer,1073741824,baseline,5939.03385625,5854.834086414689,6023.233626085311,native,5869.33185625,5782.269941352876,5956.3937711471235,16,16,-1.0959877919682808,-3.2947149035201138,1.1027393195835522
transfer_duration_ms,transfer_total_ms,Bidirectional transfer,1073741824,baseline,5939.03385625,5854.834086414689,6023.233626085311,hybrid,6876.66405625,6797.426547382905,6955.901565117095,16,16,15.84174374781506,14.126445093728812,17.55704240190131
transfer_duration_ms,transfer_total_ms,Bidirectional transfer,1073741824,native,5869.33185625,5782.269941352876,5956.3937711471235,hybrid,6876.66405625,6797.426547382905,6955.901565117095,16,16,17.26946249965926,14.7468597752534,19.79206522406512
