tls_version,run_index,host,port,ciphers_requested,ca_file,payload_bytes,use_hybrid,tcp_connect_time_ms,client_hello_time_ms,server_hello_time_ms,ecdh_time_ms,mlkem_encapsulation_time_ms,signature_verification_time_ms,key_derivation_time_ms,total_handshake_time_ms,handshake_time_ms,rtt_ms,bytes_sent,encrypt_time_ms,bytes_received,decrypt_time_ms,end_to_end_transfer_time_ms,throughput_bytes_per_sec,success
1.3,1,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,1.3991000014357269,0.2626999921631068,12.10840001294855,0.43559999903663993,0.3122000052826479,2.418300005956553,0.6264999974519014,32.01239999907557,32.01239999907557,1.0813999979291111,1048576,7.0382999983849,1048576,9.13770000624936,16.17850000911858,64812930.704886,True
1.3,2,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,1.0317000123905018,0.2592999953776598,11.231800002860837,0.38240000139921904,0.3980000037699938,2.3841000074753538,0.741399999242276,28.655000001890585,28.655000001890585,1.0575999913271517,1048576,5.015399990952574,1048576,6.726600011461414,11.74390000232961,89286863.80095167,True
1.3,3,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,1.1086000013165176,0.258400003076531,10.924100002739578,0.36550000368151814,0.3150999982608482,1.7862999957287684,0.6367000023601577,27.565800002776086,27.565800002776086,0.9564000065438449,1048576,4.652799994801171,1048576,4.932199997710995,9.586899992427789,109375919.30949709,True
1.3,4,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,1.085000010789372,0.2514000079827383,11.47800000035204,0.4563999973470345,0.38010001298971474,2.8280000115046278,0.37769999471493065,28.933800000231713,28.933800000231713,0.9913999965647236,1048576,5.062700001872145,1048576,5.284600003506057,10.349100004532374,101320501.25525674,True
1.3,5,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,0.9432999941054732,0.24229999689850956,10.527500009629875,0.35990000469610095,0.3040000010514632,2.5557999906595796,0.598999991780147,27.532100008102134,27.532100008102134,0.8239000017056242,1048576,4.430600005434826,1048576,5.423800001153722,9.855800002696924,106391769.28438783,True
1.3,6,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,0.9329999884357676,0.24029999622143805,9.920900003635325,0.3398000117158517,0.30440000409726053,1.7555999947944656,0.5286000086925924,25.059200008399785,25.059200008399785,0.904799991985783,1048576,4.611299998941831,1048576,5.127800002810545,9.740599998622201,107650042.10708992,True
1.3,7,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,1.0080999927595258,0.20710000535473228,12.853000007453375,0.44319999869912863,0.31090000993572176,2.052899988484569,0.371300004189834,28.979200011235662,28.979200011235662,0.9468000062042847,1048576,4.4535000051837415,1048576,5.002599995350465,9.45789999968838,110867740.1996795,True
1.3,8,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,1.0320000001229346,0.24649999977555126,10.24170000164304,0.34339999547228217,0.3119000029982999,2.8741999994963408,0.7572000031359494,28.137000001152046,28.137000001152046,1.2876999971922487,1048576,4.08699999388773,1048576,4.962400009389967,9.050900000147521,115853230.06363004,True
1.3,9,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,1.011500004096888,0.1770999951986596,10.375099998782389,0.3499000013107434,0.30640000477433205,1.503100007539615,0.34899999445769936,25.861900008749217,25.861900008749217,0.8422999962931499,1048576,4.370000009657815,1048576,4.954100004397333,9.325800012447871,112438182.09701945,True
1.3,10,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,1.190299997688271,0.24540000595152378,14.011099992785603,0.5052000051364303,0.4415000003064051,1.701800007140264,0.3741999971680343,30.181800000718795,30.181800000718795,1.038899994455278,1048576,8.001800000783987,1048576,7.8760000033071265,15.880000006291084,66031234.23076776,True
1.3,11,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,1.0981999948853627,0.26390000130049884,10.172800000873394,0.3453999961493537,0.3077000001212582,2.1619999897666276,0.6261999951675534,28.15369999734685,28.15369999734685,0.920199992833659,1048576,4.527199998847209,1048576,5.152599987923168,9.681199997430667,108310540.0444455,True
1.3,12,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,1.0046999959740788,0.21009999909438193,10.043700007372536,0.3485000052023679,0.3009000065503642,1.9470999977784231,0.5205999914323911,25.432700000237674,25.432700000237674,1.0097999911522493,1048576,5.45080000301823,1048576,5.248999994364567,10.701299994252622,97985852.23880853,True
1.3,13,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,1.0644000140018761,0.20209999638609588,11.373399989679456,0.3394999948795885,0.30270000570453703,1.9237999949837103,0.6505000055767596,27.751500005251728,27.751500005251728,0.9330999891972169,1048576,4.448200008482672,1048576,5.272900001727976,9.722600007080473,107849340.63279119,True
1.3,14,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,0.9318999946117401,0.23130000045057386,10.189300010097213,0.4000999906565994,0.3070999955525622,3.2574999931966886,0.7730000070296228,27.678399987053126,27.678399987053126,0.9237000049324706,1048576,4.535600004601292,1048576,5.02270000288263,9.560000005876645,109683681.94094434,True
