tls_version,run_index,file_size,host,port,ciphers_requested,cert_file,key_file,use_hybrid,client_hello_time_ms,server_hello_time_ms,ecdh_time_ms,mlkem_decapsulation_time_ms,signature_generation_time_ms,key_derivation_time_ms,total_handshake_time_ms,handshake_time_ms,bytes_received,per_recv_call_time_ms,decrypt_time_ms,bytes_sent,encrypt_time_ms,transfer_duration_ms,throughput_bytes_per_sec,success
1.3,1,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.1023999648168683,0.09360001422464848,0.21630001720041037,0.5445999559015036,0.5579000571742654,0.228599994443357,109.0715000173077,109.0715000173077,1048576,"[0.3101000329479575, 0.017300015315413475, 0.018000020645558834, 0.014399993233382702, 0.015099998563528061, 0.010499963536858559, 0.014199991710484028, 0.013299984857439995, 0.013299984857439995, 0.0127000967040658, 0.007700058631598949, 0.010399962775409222, 0.009899958968162537, 0.009500072337687016, 0.009899958968162537, 0.009699957445263863, 0.008900067768990993, 0.010899966582655907, 0.009200070053339005, 0.01680001150816679, 0.016300007700920105, 0.012299977242946625, 0.039100064896047115, 0.01109996810555458, 0.010400079190731049, 0.009600073099136353, 0.02189993392676115, 0.011299969628453255, 0.03360002301633358, 0.0097999582067132, 0.009899958968162537, 0.007200054824352264, 0.03430002834647894, 0.009899958968162537, 0.00970007386058569, 0.03300001844763756, 0.007300055585801601, 0.009999959729611874, 0.032800016924738884, 0.0097999582067132, 0.008999952115118504, 0.01409999094903469, 0.03820005804300308, 0.009599956683814526, 0.015600002370774746, 0.0323000131174922, 0.007700058631598949, 0.012499978765845299, 0.0171000137925148, 0.015700003132224083, 0.01650000922381878, 0.004400033503770828, 0.037899939343333244, 0.009699957445263863, 0.00970007386058569, 0.017399899661540985, 0.020900042727589607, 0.011100084520876408, 0.016600009985268116, 0.01610000617802143, 0.015900004655122757, 0.01379998866468668, 0.03430002834647894, 0.009400071576237679]",2.787300036288798,1048576,2.2291000932455063,5.024500074796379,208692603.12280804,True
1.3,2,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.10459998156875372,0.08869997691363096,0.22200006060302258,0.36500010173767805,1.2666999828070402,0.22099993657320738,108.57239994220436,108.57239994220436,1048576,"[0.34819997381418943, 0.01810002140700817, 0.033499905839562416, 0.02789997961372137, 0.015099998563528061, 0.01610000617802143, 0.020200037397444248, 0.015400000847876072, 0.013499986380338669, 0.009600073099136353, 0.008599949069321156, 0.012599979527294636, 0.009400071576237679, 0.01209997572004795, 0.009499955922365189, 0.00900006853044033, 0.03529991954565048, 0.009899958968162537, 0.009599956683814526, 0.017999904230237007, 0.004500034265220165, 0.037499936297535896, 0.010399962775409222, 0.014499993994832039, 0.011499971151351929, 0.03470003139227629, 0.016400008462369442, 0.01009996049106121, 0.014999997802078724, 0.010800082236528397, 0.004199915565550327, 0.03570003900676966, 0.010100076906383038, 0.0097999582067132, 0.017200014553964138, 0.004999921657145023, 0.04139996599406004, 0.0097999582067132, 0.033800024539232254, 0.0097999582067132, 0.009299954399466515, 0.014299992471933365, 0.0342000275850296, 0.010399962775409222, 0.009199953638017178, 0.019200029782950878, 0.010199961252510548, 0.03730005118995905, 0.0100000761449337, 0.008999952115118504, 0.011499971151351929, 0.020900042727589607, 0.06569991819560528, 0.01750001683831215, 0.015700003132224083, 0.014499993994832039, 0.01079996582120657, 0.019600032828748226, 0.016499892808496952, 0.015300000086426735, 0.01819990575313568, 0.0097999582067132, 0.021700048819184303, 0.01479999627918005]",3.154700039885938,1048576,2.368599991314113,5.5327999871224165,189519954.17158744,True
1.3,3,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.13329996727406979,0.12690003495663404,0.21790002938359976,0.5763999652117491,0.7064000237733126,0.29959995299577713,108.64019999280572,108.64019999280572,1048576,"[0.32140000257641077, 0.010500079952180386, 0.01309998333454132, 0.012299977242946625, 0.009899958968162537, 0.009899958968162537, 0.017400016076862812, 0.02789997961372137, 0.009900075383484364, 0.009499955922365189, 0.027999980375170708, 0.008100061677396297, 0.02459995448589325, 0.009699957445263863, 0.015900004655122757, 0.02459995448589325, 0.0073999399319291115, 0.027399975806474686, 0.009499955922365189, 0.016700010746717453, 0.033800024539232254, 0.007300055585801601, 0.02719997428357601, 0.009699957445263863, 0.024699955247342587, 0.01750001683831215, 0.015300000086426735, 0.026899971999228, 0.01859990879893303, 0.00900006853044033, 0.024399952962994576, 0.004600035026669502, 0.02819998189806938, 0.009399955160915852, 0.022700056433677673, 0.009900075383484364, 0.02389994915574789, 0.010999967344105244, 0.06310001481324434, 0.018099904991686344, 0.014899997040629387, 0.012299977242946625, 0.014599994756281376, 0.012699980288743973, 0.013299984857439995, 0.01309998333454132, 0.009599956683814526, 0.014199991710484028, 0.01680001150816679, 0.01379998866468668, 0.013899989426136017, 0.005900044925510883, 0.014499993994832039, 0.012400094419717789, 0.012599979527294636, 0.013399985618889332, 0.0097999582067132, 0.013699987903237343, 0.012599979527294636, 0.012499978765845299, 0.012699980288743973, 0.013999990187585354, 0.009200070053339005, 0.01379998866468668]",2.9757999582216144,1048576,2.2339000133797526,5.217100027948618,200988287.43605742,True
1.3,4,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.10020006448030472,0.08859997615218163,0.21500000730156898,0.3637999761849642,1.1706999503076077,0.22120005451142788,109.1454999987036,109.1454999987036,1048576,"[0.4132000030949712, 0.010400079190731049, 0.011999974958598614, 0.010499963536858559, 0.010300078429281712, 0.017999904230237007, 0.015099998563528061, 0.03569992259144783, 0.010299962013959885, 0.0097999582067132, 0.014899997040629387, 0.037400051951408386, 0.012199976481497288, 0.01009996049106121, 0.01009996049106121, 0.06089999806135893, 0.015900004655122757, 0.016300007700920105, 0.015300000086426735, 0.01309998333454132, 0.013599987141788006, 0.009600073099136353, 0.01789990346878767, 0.014199991710484028, 0.014400109648704529, 0.013599987141788006, 0.010199961252510548, 0.013999990187585354, 0.012800097465515137, 0.012899981811642647, 0.012499978765845299, 0.005399924702942371, 0.013399985618889332, 0.01279998105019331, 0.0127000967040658, 0.012899981811642647, 0.009600073099136353, 0.014999997802078724, 0.012400094419717789, 0.012899981811642647, 0.01309998333454132, 0.009899958968162537, 0.013699987903237343, 0.012600095942616463, 0.01209997572004795, 0.012899981811642647, 0.0097999582067132, 0.013499986380338669, 0.01209997572004795, 0.012899981811642647, 0.012599979527294636, 0.005500041879713535, 0.014599994756281376, 0.012599979527294636, 0.0127000967040658, 0.012899981811642647, 0.0097999582067132, 0.013899989426136017, 0.012299977242946625, 0.012899981811642647, 0.012400094419717789, 0.009699957445263863, 0.007300055585801601, 0.009999959729611874]",2.9808999970555305,1048576,2.332999953068793,5.321100004948676,197060006.20638853,True
1.3,5,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.11209992226213217,0.09030010551214218,0.19890000112354755,0.5856000352650881,0.541800050996244,0.21440000273287296,107.81010007485747,107.81010007485747,1048576,"[0.3226000117138028, 0.017000013031065464, 0.017600017599761486, 0.01379998866468668, 0.015500001609325409, 0.010299962013959885, 0.013899989426136017, 0.012599979527294636, 0.01309998333454132, 0.01279998105019331, 0.009999959729611874, 0.014199991710484028, 0.01279998105019331, 0.009300070814788342, 0.00909995287656784, 0.007300055585801601, 0.009599956683814526, 0.008800067007541656, 0.00909995287656784, 0.009300070814788342, 0.0070999376475811005, 0.01880002673715353, 0.016900012269616127, 0.027400092221796513, 0.010100076906383038, 0.013900105841457844, 0.036499928683042526, 0.010299962013959885, 0.0097999582067132, 0.033400021493434906, 0.0072999391704797745, 0.013400102034211159, 0.03329990431666374, 0.010199961252510548, 0.009500072337687016, 0.006400048732757568, 0.03450002986937761, 0.009600073099136353, 0.015199999324977398, 0.017299898900091648, 0.013699987903237343, 0.031200004741549492, 0.012399978004395962, 0.028699985705316067, 0.0097999582067132, 0.014600111171603203, 0.03300001844763756, 0.017999904230237007, 0.01910002902150154, 0.016900012269616127, 0.013699987903237343, 0.0097999582067132, 0.026999972760677338, 0.009399955160915852, 0.018300022929906845, 0.0068999361246824265, 0.036800047382712364, 0.009900075383484364, 0.0097999582067132, 0.03600004129111767, 0.007400056347250938, 0.010399962775409222, 0.016600009985268116, 0.017400016076862812]",2.8092999709770083,1048576,2.352400100789964,5.17509994097054,202619468.60167298,True
1.3,6,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.12310000602155924,0.10889989789575338,0.2237000735476613,0.6382999708876014,0.5830000154674053,0.23030000738799572,109.19310001190752,109.19310001190752,1048576,"[0.3173999721184373, 0.017700018361210823, 0.016600009985268116, 0.013899989426136017, 0.014499993994832039, 0.009999959729611874, 0.010699965059757233, 0.012599979527294636, 0.010400079190731049, 0.00909995287656784, 0.007999944500625134, 0.019300030544400215, 0.012699980288743973, 0.01850002445280552, 0.016700010746717453, 0.01309998333454132, 0.03870006185024977, 0.01009996049106121, 0.009500072337687016, 0.009299954399466515, 0.13339996803551912, 0.03829994238913059, 0.021400046534836292, 0.014299992471933365, 0.031400006264448166, 0.02080004196614027, 0.024700071662664413, 0.013599987141788006, 0.019400031305849552, 0.013999990187585354, 0.012399978004395962, 0.011100084520876408, 0.013899989426136017, 0.01309998333454132, 0.019499915651977062, 0.013499986380338669, 0.009999959729611874, 0.014699995517730713, 0.013299984857439995, 0.012399978004395962, 0.018700025975704193, 0.010299962013959885, 0.015300000086426735, 0.012599979527294636, 0.019200029782950878, 0.012999982573091984, 0.010300078429281712, 0.01379998866468668, 0.023700064048171043, 0.013599987141788006, 0.012699980288743973, 0.00909995287656784, 0.019999919459223747, 0.014899997040629387, 0.012999982573091984, 0.012699980288743973, 0.009699957445263863, 0.015900004655122757, 0.013599987141788006, 0.012599979527294636, 0.012999982573091984, 0.009999959729611874, 0.013399985618889332, 0.014299992471933365]",3.1524000223726034,1048576,2.169799990952015,5.329299950972199,196756799.13807687,True
1.3,7,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.11060002725571394,0.10770000517368317,0.20779995247721672,0.417000032030046,0.9044000180438161,0.21899992134422064,110.168999992311,110.168999992311,1048576,"[0.4368999507278204, 0.013199984095990658, 0.029999995604157448, 0.04340009763836861, 0.039499951526522636, 0.030199997127056122, 0.0377000542357564, 0.031400006264448166, 0.030700000934302807, 0.0475000124424696, 0.007300055585801601, 0.04160008393228054, 0.02819998189806938, 0.03190001007169485, 0.03220001235604286, 0.02259993925690651, 0.03959995228797197, 0.02989999484270811, 0.04030007403343916, 0.034400029107928276, 0.02619996666908264, 0.00800006091594696, 0.08239992894232273, 0.02319994382560253, 0.009999959729611874, 0.025600078515708447, 0.0078000593930482864, 0.025999965146183968, 0.019400031305849552, 0.033100019209086895, 0.02010003663599491, 0.007899943739175797, 0.0295999925583601, 0.07969990838319063, 0.015600002370774746, 0.016400008462369442, 0.010500079952180386, 0.014499993994832039, 0.012499978765845299, 0.012899981811642647, 0.01300009898841381, 0.0097999582067132, 0.01379998866468668, 0.012299977242946625, 0.012899981811642647, 0.0127000967040658, 0.00900006853044033, 0.013500102795660496, 0.011899974197149277, 0.009100069291889668, 0.008899951353669167, 0.007100054062902927, 0.009899958968162537, 0.008900067768990993, 0.008999952115118504, 0.037100049667060375, 0.004900037311017513, 0.016700010746717453, 0.03450002986937761, 0.009699957445263863, 0.0097999582067132, 0.012199976481497288, 0.017600017599761486, 0.03250001464039087]",3.606499987654388,1048576,2.881100052036345,6.4968999940901995,161396358.40998328,True
1.3,8,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.10159995872527361,0.09059999138116837,0.22400007583200932,0.5585999460890889,1.6550000291317701,0.21909992210566998,108.87859994545579,108.87859994545579,1048576,"[0.3168999683111906, 0.01680001150816679, 0.017400016076862812, 0.013999990187585354, 0.015700003132224083, 0.01070008147507906, 0.014399993233382702, 0.012899981811642647, 0.01300009898841381, 0.012499978765845299, 0.009999959729611874, 0.018000020645558834, 0.013199984095990658, 0.013299984857439995, 0.013199984095990658, 0.006100046448409557, 0.01379998866468668, 0.012999982573091984, 0.008999952115118504, 0.009200070053339005, 0.0072999391704797745, 0.009800074622035027, 0.011899974197149277, 0.012599979527294636, 0.009600073099136353, 0.009199953638017178, 0.007400056347250938, 0.012699980288743973, 0.010199961252510548, 0.009600073099136353, 0.008999952115118504, 0.02719997428357601, 0.011599971912801266, 0.015600002370774746, 0.01580000389367342, 0.015600002370774746, 0.012199976481497288, 0.03720005042850971, 0.010200077667832375, 0.009599956683814526, 0.01179997343569994, 0.007100054062902927, 0.03539992030709982, 0.009899958968162537, 0.014899997040629387, 0.016400008462369442, 0.012599979527294636, 0.033899908885359764, 0.009899958968162537, 0.009600073099136353, 0.06220000796020031, 0.01309998333454132, 0.01659989356994629, 0.015199999324977398, 0.013899989426136017, 0.01409999094903469, 0.010600080713629723, 0.014899997040629387, 0.019299914129078388, 0.013499986380338669, 0.01309998333454132, 0.006100046448409557, 0.0423000892624259, 0.013199984095990658]",2.991399960592389,1048576,2.389300032518804,5.390800070017576,194512129.2536789,True
1.3,9,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.12820004485547543,0.08949998300522566,0.21430000197142363,0.4178999224677682,2.19140003900975,0.2175000263378024,109.66029996052384,109.66029996052384,1048576,"[0.38129999302327633, 0.009800074622035027, 0.011399970389902592, 0.009500072337687016, 0.009999959729611874, 0.03629992716014385, 0.0077999429777264595, 0.0100000761449337, 0.018399907276034355, 0.016700010746717453, 0.01650000922381878, 0.008800067007541656, 0.038899946957826614, 0.009599956683814526, 0.009399955160915852, 0.01810002140700817, 0.02429995220154524, 0.0076999422162771225, 0.034400029107928276, 0.009899958968162537, 0.009300070814788342, 0.033199903555214405, 0.007600057870149612, 0.012499978765845299, 0.03360002301633358, 0.009899958968162537, 0.009100069291889668, 0.03130000550299883, 0.010900082997977734, 0.009599956683814526, 0.03330002073198557, 0.009699957445263863, 0.008999952115118504, 0.03430002834647894, 0.009999959729611874, 0.00870006624609232, 0.03360002301633358, 0.007400056347250938, 0.01750001683831215, 0.032499898225069046, 0.009699957445263863, 0.01750001683831215, 0.024699955247342587, 0.010299962013959885, 0.018099904991686344, 0.01680001150816679, 0.022499938495457172, 0.007500057108700275, 0.033400021493434906, 0.009500072337687016, 0.011399970389902592, 0.032800016924738884, 0.004300032742321491, 0.010299962013959885, 0.03290001768618822, 0.010199961252510548, 0.009499955922365189, 0.030800001695752144, 0.010699965059757233, 0.011500087566673756, 0.03269989974796772, 0.009499955922365189, 0.00700005330145359, 0.033100019209086895]",2.8684999560937285,1048576,2.471999963745475,5.347399972379208,196090811.50020263,True
1.3,10,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.125400023534894,0.10699999984353781,0.22899999748915434,0.38139999378472567,0.45199994929134846,0.22350007202476263,108.01860003266484,108.01860003266484,1048576,"[0.4613999044522643, 0.010699965059757233, 0.04429998807609081, 0.01379998866468668, 0.04650000482797623, 0.012399978004395962, 0.02159993164241314, 0.036400044336915016, 0.042199972085654736, 0.01179997343569994, 0.03660004585981369, 0.029999995604157448, 0.028399983420968056, 0.031200004741549492, 0.010399962775409222, 0.011999974958598614, 0.0252000754699111, 0.007600057870149612, 0.02629996743053198, 0.010299962013959885, 0.01580000389367342, 0.023300061002373695, 0.007600057870149612, 0.02659996971487999, 0.009800074622035027, 0.0241999514400959, 0.01009996049106121, 0.022400054149329662, 0.016000005416572094, 0.023400061763823032, 0.026499968953430653, 0.009800074622035027, 0.02359994687139988, 0.01309998333454132, 0.026099965907633305, 0.009599956683814526, 0.01750001683831215, 0.020699924789369106, 0.015700003132224083, 0.021999934688210487, 0.009999959729611874, 0.017700018361210823, 0.02010003663599491, 0.015700003132224083, 0.02150004729628563, 0.009900075383484364, 0.025099958293139935, 0.004700035788118839, 0.026399968191981316, 0.009199953638017178, 0.024600070901215076, 0.009899958968162537, 0.02329994458705187, 0.016400008462369442, 0.020999927073717117, 0.009999959729611874, 0.024700071662664413, 0.00800006091594696, 0.02519995905458927, 0.009699957445263863, 0.023600063286721706, 0.009400071576237679, 0.022099935449659824, 0.01580000389367342]",3.271199995651841,1048576,3.1066000228747725,6.3856999622657895,164206900.76204923,True
