tls_version,run_index,file_size,host,port,ciphers_requested,cert_file,key_file,cert_size_bytes,key_size_bytes,handshake_time_ms,negotiated_tls_version,negotiated_cipher,bytes_received,per_recv_call_time_ms,decrypt_time_ms,bytes_sent,encrypt_time_ms,transfer_duration_ms,throughput_bytes_per_sec,success
1.3,1,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,1134,1732,7.761300075799227,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",102400,"[0.08999998681247234, 0.025099958293139935, 0.02150004729628563, 0.018200022168457508, 0.014999997802078724, 0.018499908037483692, 0.010500079952180386]",0.2484000287950039,102400,0.17190002836287022,0.4248000914230943,241054562.05754718,True
1.3,2,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,1134,1732,8.06000002194196,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",102400,"[0.07860001642256975, 0.024700071662664413, 0.03260001540184021, 0.01810002140700817, 0.02829998265951872, 0.017400016076862812, 0.009200070053339005]",0.25859999004751444,102400,0.16639998648315668,0.4290000069886446,238694634.80617255,True
1.3,3,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,1134,1732,8.068600087426603,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",102400,"[0.08220004383474588, 0.02319994382560253, 0.02180004958063364, 0.018499908037483692, 0.014299992471933365, 0.02720009069889784, 0.016400008462369442]",0.3037001006305218,102400,0.18430000636726618,0.4960000514984131,206451591.4678844,True
1.3,4,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,1134,1732,7.851099944673479,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",102400,"[0.09079999290406704, 0.02389994915574789, 0.0222999369725585, 0.01750001683831215, 0.014599994756281376, 0.018400023691356182, 0.009899958968162537]",0.24550000671297312,102400,0.17169991042464972,0.42129994835704565,243057233.68666893,True
1.3,5,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,1134,1732,7.702699978835881,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",102400,"[0.09590003173798323, 0.028999987989664078, 0.021799933165311813, 0.017700018361210823, 0.014499993994832039, 0.025699962861835957, 0.0100000761449337]",0.2764000091701746,102400,0.1772999530658126,0.458399998024106,223385690.31716064,True
1.3,6,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,1134,1732,8.623600006103516,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",102400,"[0.10159995872527361, 0.02350006252527237, 0.02129992935806513, 0.015099998563528061, 0.021600048057734966, 0.017200014553964138, 0.009299954399466515]",0.26190001517534256,102400,0.14519994147121906,0.4113999893888831,248906180.45982638,True
1.3,7,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,1134,1732,7.8362999483942986,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",102400,"[0.09109999518841505, 0.02429995220154524, 0.029499991796910763, 0.020700041204690933, 0.017399899661540985, 0.016900012269616127, 0.00900006853044033]",0.2642000326886773,102400,0.17530005425214767,0.4437000025063753,230786566.19689485,True
1.3,8,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,1134,1732,7.767200004309416,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",102400,"[0.13139995280653238, 0.023900065571069717, 0.02859998494386673, 0.015300000086426735, 0.01859990879893303, 0.017400016076862812, 0.009300070814788342]",0.29200001154094934,102400,0.12850004713982344,0.4235999658703804,241737507.67329836,True
1.3,9,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,1134,1732,8.492300054058433,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",102400,"[0.10040006600320339, 0.011999974958598614, 0.02789997961372137, 0.013999990187585354, 0.027099973522126675, 0.022500054910779, 0.02459995448589325]",0.2576999831944704,102400,0.14290004037320614,0.404300051741302,253277236.94065297,True
1.3,10,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,1134,1732,8.127599954605103,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",102400,"[0.07920002099126577, 0.024600070901215076, 0.022399937734007835, 0.018200022168457508, 0.014499993994832039, 0.018400023691356182, 0.009299954399466515]",0.22139993961900473,102400,0.1680999994277954,0.39379997178912163,260030490.9489298,True
1.3,11,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,1134,1732,9.21699998434633,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",102400,"[0.07370009552687407, 0.041100080125033855, 0.0241999514400959, 0.020700041204690933, 0.02159993164241314, 0.021000043489038944, 0.008699949830770493]",0.26750005781650543,102400,0.12440001592040062,0.39570010267198086,258781838.33802387,True
1.3,12,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,1134,1732,8.542199968360364,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",102400,"[0.08240004535764456, 0.01919991336762905, 0.015900004655122757, 0.012999982573091984, 0.010900082997977734, 0.014599994756281376, 0.00809994526207447]",0.2093999646604061,102400,0.12700003571808338,0.3415000392124057,299853552.68527335,True
