tls_version,run_index,file_size,host,port,ciphers_requested,cert_file,key_file,use_hybrid,client_hello_time_ms,server_hello_time_ms,ecdh_time_ms,mlkem_decapsulation_time_ms,signature_generation_time_ms,key_derivation_time_ms,total_handshake_time_ms,handshake_time_ms,bytes_received,per_recv_call_time_ms,decrypt_time_ms,bytes_sent,encrypt_time_ms,transfer_duration_ms,throughput_bytes_per_sec,success
1.3,1,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.1020999625325203,0.09580003097653389,0.22359995637089014,0.3665999975055456,0.6347000598907471,0.2245999639853835,108.43439993914217,108.43439993914217,102400,"[0.22679998073726892, 0.01279998105019331, 0.011800089851021767, 0.010100076906383038, 0.01789990346878767, 0.02659996971487999, 0.0077999429777264595]",0.5323999794200063,102400,0.34559995401650667,0.8814999600872397,116165632.03232107,True
1.3,2,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.1303000608459115,0.11599995195865631,0.2028000308200717,0.3599999472498894,0.38870004937052727,0.3206999972462654,107.4512000195682,107.4512000195682,102400,"[0.179799972102046, 0.013399985618889332, 0.005599926225841045, 0.011899974197149277, 0.020099920220673084, 0.036100042052567005, 0.006400048732757568]",0.4805999342352152,102400,0.332399969920516,0.8165999315679073,125398002.1812977,True
1.3,3,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.09940005838871002,0.0926000066101551,0.20579993724822998,0.37859997246414423,0.8370000869035721,0.21460000425577164,107.74020000826567,107.74020000826567,102400,"[0.17269991803914309, 0.010499963536858559, 0.011600088328123093, 0.010300078429281712, 0.009999959729611874, 0.027999980375170708, 0.02089992631226778]",0.4708999767899513,102400,0.3179999766871333,0.7927999831736088,129162464.90077972,True
1.3,4,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.09929994121193886,0.09280000813305378,0.21840003319084644,0.5687999073415995,0.6722999969497323,0.30090007930994034,109.11130008753389,109.11130008753389,102400,"[0.197600107640028, 0.02089992631226778, 0.013699987903237343, 0.010599964298307896, 0.014199991710484028, 0.01009996049106121, 0.04199997056275606]",0.5299999611452222,102400,0.309899915009737,0.8431999012827873,121442139.45496859,True
1.3,5,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.11449994053691626,0.09109999518841505,0.21089997608214617,0.5721000488847494,0.7142999675124884,0.32510003075003624,111.15760006941855,111.15760006941855,102400,"[0.16960001084953547, 0.013499986380338669, 0.013299984857439995, 0.010399962775409222, 0.015600002370774746, 0.010599964298307896, 0.04109996370971203]",0.4843000788241625,102400,0.29630004428327084,0.7842000341042876,130578928.26663947,True
1.3,6,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.10159995872527361,0.09240000508725643,0.22040004841983318,0.5602999590337276,0.9752999758347869,0.21309999283403158,107.2885999456048,107.2885999456048,102400,"[0.1952000893652439, 0.020200037397444248, 0.027999980375170708, 0.013399985618889332, 0.013299984857439995, 0.015199999324977398, 0.027999980375170708]",0.6053000688552856,102400,0.3106999211013317,0.9199000196531415,111316445.06172644,True
1.3,7,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.12800004333257675,0.09599991608411074,0.20940008107572794,0.5774999735876918,0.8221999742090702,0.2964000450447202,111.33340001106262,111.33340001106262,102400,"[0.18259999342262745, 0.009600073099136353, 0.011900090612471104, 0.009600073099136353, 0.02029992174357176, 0.01810002140700817, 0.013899989426136017]",0.46360003761947155,102400,0.3504001069813967,0.8178999414667487,125198688.50505722,True
1.3,8,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.11200003791600466,0.08919998072087765,0.23100001271814108,0.547399977222085,1.241200021468103,0.21299999207258224,107.68020001705736,107.68020001705736,102400,"[0.2704999642446637, 0.012599979527294636, 0.014399993233382702, 0.015199999324977398, 0.011999974958598614, 0.01279998105019331, 0.013499986380338669]",0.5465999711304903,102400,0.3040999872609973,0.8541999850422144,119878250.7528836,True
1.3,9,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.1058999914675951,0.09159999899566174,0.2207999350503087,0.5504000000655651,0.8043000707402825,0.22099993657320738,108.2894999999553,108.2894999999553,102400,"[0.18289999570697546, 0.018099904991686344, 0.017200014553964138, 0.013899989426136017, 0.015500001609325409, 0.010900082997977734, 0.007500057108700275]",0.5238000303506851,102400,0.3535000141710043,0.8815000765025616,116165616.690905,True
1.3,10,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.10119995567947626,0.08719996549189091,0.21470000501722097,0.5740999476984143,0.6038000574335456,0.2682999474927783,107.70920000504702,107.70920000504702,102400,"[0.19859999883919954, 0.01279998105019331, 0.011400086805224419, 0.0100000761449337, 0.009900075383484364, 0.016200006939470768, 0.07120007649064064]",0.5511000053957105,102400,0.41099998634308577,0.965900020673871,106015113.16726081,True
1.3,11,102400,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.09860005229711533,0.0868999632075429,0.21770002786070108,0.5579999415203929,0.5534000229090452,0.22119993809610605,106.3392999349162,106.3392999349162,102400,"[0.17850007861852646, 0.01680001150816679, 0.01750001683831215, 0.01379998866468668, 0.013699987903237343, 0.011599971912801266, 0.028699985705316067]",0.5492999916896224,102400,0.31370006036013365,0.867099966853857,118094803.2688124,True
