tls_version,run_index,file_size,host,port,ciphers_requested,ca_file,payload_bytes,use_hybrid,tcp_connect_time_ms,client_hello_time_ms,server_hello_time_ms,ecdh_time_ms,mlkem_encapsulation_time_ms,signature_verification_time_ms,key_derivation_time_ms,total_handshake_time_ms,handshake_time_ms,ping_rtt_ms,bytes_sent,encrypt_time_ms,bytes_received,decrypt_time_ms,end_to_end_transfer_time_ms,throughput_bytes_per_sec,success
1.3,1,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,0.7427000673487782,0.12159999459981918,6.322900066152215,0.2714999718591571,0.2351000439375639,0.9391999337822199,0.33379998058080673,15.480699948966503,15.480699948966503,0.5053000058978796,1048576,2.2966000251471996,1048576,2.5961999781429768,4.893600009381771,214274970.98040733,True
1.3,2,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,0.6399999838322401,0.12310000602155924,6.360900006256998,0.19890000112354755,0.16710010822862387,1.6451000701636076,0.2910998882725835,15.757599961943924,15.757599961943924,0.5320000927895308,1048576,2.4272999726235867,1048576,2.927799941971898,5.356399924494326,195761334.9975901,True
1.3,3,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,0.6403999868780375,0.1235998934134841,6.454300018958747,0.28190005104988813,0.24530000519007444,0.9986000368371606,0.2055999357253313,15.32999996561557,15.32999996561557,0.443600001744926,1048576,2.355900011025369,1048576,2.765499986708164,5.122300004586577,204708041.12626958,True
1.3,4,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,0.6272000027820468,0.12310000602155924,6.685400032438338,0.19449996761977673,0.16179995145648718,1.4868000289425254,0.20979996770620346,16.320299939252436,16.320299939252436,0.5089000333100557,1048576,2.335999975912273,1048576,2.773100044578314,5.1102000288665295,205192750.5923051,True
1.3,5,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,0.7215000223368406,0.14409993309527636,6.01090001873672,0.2875999780371785,0.2391999587416649,0.9324999991804361,0.28000003658235073,14.9865000275895,14.9865000275895,0.5278000608086586,1048576,2.332799951545894,1048576,2.6689000660553575,5.002600024454296,209606203.74889615,True
1.3,6,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,0.6644000532105565,0.15670002903789282,6.915500038303435,0.29450003057718277,0.2631000243127346,0.9858999401330948,0.3157999599352479,16.08679990749806,16.08679990749806,0.5226000212132931,1048576,2.3527999874204397,1048576,2.842899993993342,5.196699989028275,201777282.16249636,True
1.3,7,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,0.662699923850596,0.1338000874966383,6.346699898131192,0.21199998445808887,0.17190002836287022,1.3035000301897526,0.3032999811694026,15.692300046794116,15.692300046794116,0.5322999786585569,1048576,2.9491999885067344,1048576,3.3168999943882227,6.266899988986552,167319727.75100404,True
1.3,8,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,0.7081000367179513,0.12520002201199532,6.319600041024387,0.28359994757920504,0.24189997930079699,2.047999994829297,0.2837000647559762,16.30660006776452,16.30660006776452,0.5401000380516052,1048576,2.237499924376607,1048576,3.1009999802336097,5.339299910701811,196388293.8844266,True
1.3,9,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,0.6339000537991524,0.12340000830590725,6.561800022609532,0.19639998208731413,0.16190006863325834,2.636800054460764,0.28709997422993183,16.83410000987351,16.83410000987351,0.5104000447317958,1048576,2.3445000406354666,1048576,2.7731999289244413,5.118599976412952,204856016.26068625,True
1.3,10,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,0.6426000036299229,0.12759992387145758,6.491200067102909,0.20000000949949026,0.18770003225654364,0.7551999296993017,0.2036000369116664,14.863700023852289,14.863700023852289,0.520500005222857,1048576,2.6841999497264624,1048576,3.4533999860286713,6.138599943369627,170816800.19441226,True
1.3,11,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,0.6087999790906906,0.12119999155402184,6.397400051355362,0.2730999840423465,0.2386999549344182,1.0074999881908298,0.2861999673768878,15.590199967846274,15.590199967846274,0.5604000762104988,1048576,2.2609999869018793,1048576,2.6940000243484974,4.955900018103421,211581346.71193,True
1.3,12,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,0.6201000651344657,0.13399997260421515,6.235899985767901,0.2734999870881438,0.2332000294700265,1.0084999958053231,0.20659994333982468,14.976499951444566,14.976499951444566,0.42779999785125256,1048576,2.268000040203333,1048576,2.714300062507391,4.982999991625547,210430664.61212957,True
1.3,13,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1048576,True,0.6467999191954732,0.12240000069141388,6.5206000581383705,0.1943999668583274,0.16449997201561928,0.6966999499127269,0.20610005594789982,14.843300101347268,14.843300101347268,0.45519997365772724,1048576,2.3273000260815024,1048576,2.9853000305593014,5.3134000627323985,197345576.77194238,True
