tls_version,run_index,file_size,host,port,ciphers_requested,ca_file,payload_bytes,use_hybrid,tcp_connect_time_ms,client_hello_time_ms,server_hello_time_ms,ecdh_time_ms,mlkem_encapsulation_time_ms,signature_verification_time_ms,key_derivation_time_ms,total_handshake_time_ms,handshake_time_ms,ping_rtt_ms,bytes_sent,encrypt_time_ms,bytes_received,decrypt_time_ms,end_to_end_transfer_time_ms,throughput_bytes_per_sec,success
1.3,1,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,True,0.6561999907717109,0.13760000001639128,6.221300107426941,0.22490008268505335,0.1724999165162444,0.7576000643894076,0.2715999726206064,14.874899992719293,14.874899992719293,0.5104999290779233,1024,0.05050003528594971,1024,0.112100038677454,0.16330007929354906,6270664.438314524,True
1.3,2,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,True,0.6480000447481871,0.11939997784793377,6.257800036109984,0.27959991712123156,0.2386000705882907,0.81769993994385,0.20610005594789982,14.739600010216236,14.739600010216236,0.45769999269396067,1024,0.07049995474517345,1024,0.14370004646480083,0.21500000730156898,4762790.5359263085,True
1.3,3,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,True,0.7836000295355916,0.16169995069503784,5.905300029553473,0.27730001602321863,0.2452000044286251,1.0435000294819474,0.21399999968707561,14.948399970307946,14.948399970307946,0.4401999758556485,1024,0.06480002775788307,1024,0.12740003876388073,0.19290007185190916,5308447.996774892,True
1.3,4,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,True,0.6640000501647592,0.11880008969455957,6.087799905799329,0.2717000897973776,0.23739994503557682,0.8639000589028001,0.2899999963119626,15.198800014331937,15.198800014331937,0.5452999612316489,1024,0.06320001557469368,1024,0.16149994917213917,0.22569997236132622,4536996.567995428,True
1.3,5,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,True,0.5993000231683254,0.11519994586706161,6.294400081969798,0.282999943010509,0.24720001965761185,1.0217999806627631,0.22469996474683285,15.153600019402802,15.153600019402802,0.5017999792471528,1024,0.05370005965232849,1024,0.11049991007894278,0.16489997506141663,6209825.074980233,True
1.3,6,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,True,0.7201000116765499,0.1238000113517046,6.389999995008111,0.27980003505945206,0.24359999224543571,1.165800029411912,0.29399991035461426,15.993100008927286,15.993100008927286,0.5029999883845448,1024,0.04980002995580435,1024,0.1553000183776021,0.20590005442500114,4973286.689309695,True
1.3,7,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,True,0.6400999845936894,0.13130006846040487,6.181499920785427,0.31180004589259624,0.26739994063973427,1.1212000390514731,0.29660004656761885,15.439399983733892,15.439399983733892,0.6570999976247549,1024,0.07800001185387373,1024,0.17259991727769375,0.2513999352231622,4073191.184759128,True
1.3,8,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,True,0.6797000532969832,0.12719992082566023,6.5885999938473105,0.2842000685632229,0.24799990933388472,0.834900070913136,0.2901999978348613,15.758400084450841,15.758400084450841,0.5422000540420413,1024,0.051200040616095066,1024,0.14809996355324984,0.20020001102238894,5114884.833275475,True
1.3,9,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,True,0.6454000249505043,0.1362999901175499,6.504200049676001,0.2756000030785799,0.23850006982684135,0.7758999709039927,0.27980003505945206,15.628500026650727,15.628500026650727,0.5649999948218465,1024,0.050200033001601696,1024,0.21570001263171434,0.26650005020201206,3842400.777124765,True
1.3,10,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,True,0.619300059042871,0.12529990635812283,6.307200063019991,0.2607000060379505,0.2452000044286251,1.0241999989375472,0.22630009334534407,15.537900035269558,15.537900035269558,0.43699995148926973,1024,0.05030003376305103,1024,0.15789992175996304,0.20899996161460876,4899522.430957346,True
1.3,11,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,True,0.6147000240162015,0.12330000754445791,6.37990003451705,0.18830003682523966,0.16659998800605536,1.09779997728765,0.2799000358209014,15.442600008100271,15.442600008100271,0.42369996663182974,1024,0.06210000719875097,1024,0.11180003639310598,0.17460004892200232,5864832.262775845,True
1.3,12,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,True,0.6928000366315246,0.11479994282126427,6.2275000382214785,0.2590999938547611,0.2378999488428235,1.0213999776169658,0.286900089122355,15.660100034438074,15.660100034438074,0.5731999408453703,1024,0.048600020818412304,1024,0.14290004037320614,0.1922000665217638,5327781.714810423,True
1.3,13,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,True,0.7524000247940421,0.1268000341951847,5.935399909503758,0.2845000708475709,0.24780002422630787,0.8410000009462237,0.2808000426739454,14.725400018505752,14.725400018505752,0.560399959795177,1024,0.05250005051493645,1024,0.15330000314861536,0.20650005899369717,4958836.3557380615,True
1.3,14,1024,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,1024,True,0.6660999497398734,0.1324999611824751,6.593800033442676,0.19129994325339794,0.1623000716790557,0.911800074391067,0.2937000244855881,15.369399916380644,15.369399916380644,0.5238999146968126,1024,0.0545999500900507,1024,0.14340004418045282,0.19880000036209822,5150905.423213613,True
